object,distance_cm,angle_deg,band_center_hz,n_trials,snr_gain_db_mean,snr_gain_db_median,snr_gain_db_std,snr_db_bandpassed_mean,snr_db_detrended_only_mean
Box,100,-5.0,50000.0,100,8.540523951063337,8.543438145958554,0.04373256368874839,21.727798129677048,13.187274178613709
Box,100,-5.0,60000.0,100,12.1882698524855,12.201789956571407,0.17678326344571074,25.37554403109921,13.187274178613709
Box,100,0.0,40000.0,100,3.904955201375559,3.912446709472949,0.07652901381832955,20.8075911378936,16.902635936518042
Box,100,0.0,50000.0,100,7.531970503938151,7.517627002720404,0.06109217810255291,24.434606440456193,16.902635936518042
Box,100,0.0,60000.0,100,9.35764559096234,9.310761332197666,0.38285243642748795,26.26028152748038,16.902635936518042
Box,100,5.0,40000.0,100,2.7224878883907913,2.8237903452918713,0.5733069356706577,10.645653852013977,7.923165963623185
Box,100,5.0,50000.0,100,8.766109222800896,8.756574422323146,0.14071083074748275,16.68927518642408,7.923165963623185
Box,100,5.0,60000.0,100,13.572935581889704,13.531457553418226,0.7272309304517856,21.49610154551289,7.923165963623185
Box,100,10.0,40000.0,100,0.5350036554076613,0.5096814356917285,0.1797775159999705,13.871233893680945,13.336230238273282
Box,100,10.0,50000.0,100,8.804853077450138,8.796037289239147,0.08111493727341375,22.14108331572342,13.336230238273282
Box,100,10.0,60000.0,100,15.250958793296727,15.261769711121943,0.1044285807984675,28.58718903157001,13.336230238273282
Box,125,-10.0,40000.0,100,4.913117952098849,4.998616842722559,0.4196414240916056,8.606237866006282,3.6931199139074335
Box,125,-10.0,50000.0,100,19.20219487885573,19.162772633882078,0.2875266083033095,22.89531479276316,3.6931199139074335
Box,125,-10.0,60000.0,100,13.703676479019052,13.625764858006026,0.5728262602860081,17.396796392926486,3.6931199139074335
Box,125,-5.0,40000.0,100,5.868984960179996,5.885980098251327,0.14598605194590625,11.970446111984465,6.101461151804469
Box,125,-5.0,50000.0,100,18.87421878539697,18.868905845763972,0.10863810584724944,24.975679937201438,6.101461151804469
Box,125,-5.0,60000.0,100,11.514324341131749,11.476857823373205,0.3518598957506368,17.61578549293622,6.101461151804469
Box,125,0.0,40000.0,100,6.280913113752041,6.283871920606853,0.022004672542868153,19.948912004608736,13.667998890856696
Box,125,0.0,50000.0,100,18.40525162827405,18.40887233000209,0.04593535036667465,32.073250519130745,13.667998890856696
Box,125,0.0,60000.0,100,9.074771550542902,9.064780441683283,0.1092137130836207,22.7427704413996,13.667998890856696
Box,125,5.0,40000.0,100,3.730846523946638,3.8142195493707387,0.5347060645285101,6.409443188828362,2.678596664881724
Box,125,5.0,50000.0,100,19.220004004454776,19.18118489144897,0.2549142149875435,21.898600669336496,2.678596664881724
Box,125,5.0,60000.0,100,15.096585249333778,15.036197735938423,0.53267050843472,17.7751819142155,2.678596664881724
Box,125,10.0,40000.0,100,3.5556009005973546,3.567482387843195,0.3326966324712439,10.046471178346,6.490870277748645
Box,125,10.0,50000.0,100,19.461821553163826,19.5142246100788,0.29811909209746457,25.95269183091247,6.490870277748645
Box,125,10.0,60000.0,100,15.375672438446395,15.47235670598422,0.48072413439678746,21.866542716195042,6.490870277748645
Dose,25,-10.0,40000.0,100,1.6552238391804508,1.6445776065705249,0.04380264766240255,7.182446263477334,5.527222424296883
Dose,25,-10.0,50000.0,100,10.867358000125485,10.871449575917133,0.052080326283324416,16.394580424422365,5.527222424296883
Dose,25,-10.0,60000.0,100,6.496648354534859,6.532389748188106,0.16838142941320378,12.023870778831743,5.527222424296883
Dose,25,-5.0,40000.0,100,2.015463112895919,2.015637890106312,0.008900919687927843,7.125401044025234,5.109937931129315
Dose,25,-5.0,50000.0,100,10.520456718014383,10.515853321217978,0.03675672508358854,15.6303946491437,5.109937931129315
Dose,25,-5.0,60000.0,100,4.724104046450694,4.721643586298818,0.0789271397241493,9.834041977580009,5.109937931129315
Dose,25,0.0,40000.0,100,1.8588227868918128,1.8587509592308522,0.011210535773464578,7.980425667108047,6.121602880216235
Dose,25,0.0,50000.0,100,11.172492501491297,11.174108034849468,0.018704337605477066,17.294095381707532,6.121602880216235
Dose,25,0.0,60000.0,100,6.673707334273882,6.6774964783275985,0.02358005380429973,12.795310214490117,6.121602880216235
Dose,25,5.0,40000.0,100,0.9939388468374023,0.9826747141822918,0.03849046376793937,3.286826384069307,2.2928875372319046
Dose,25,5.0,50000.0,100,12.122968248230404,12.119806697609494,0.02789705316891578,14.415855785462309,2.2928875372319046
